RSPO szkoły,* liczba zdających,* zdawalność (%).1,średni wynik (%)
10840,146.0,100.0,71.1103448275862
5738,85.0,98.82352941176472,49.03529411764706
5438,251.0,100.0,66.69322709163346
10845,78.0,100.0,59.30769230769231
5668,107.0,100.0,64.2803738317757
10812,26.0,92.3076923076923,52.24
5449,142.0,100.0,70.04929577464789
10830,82.0,100.0,60.69512195121951
10699,180.0,100.0,64.27777777777777
23747,55.0,96.36363636363636,50.27272727272727
122479,39.0,97.43589743589745,53.92307692307692
263703,10.0,100.0,52.4
92728,43.0,100.0,60.395348837209305
49509,17.0,100.0,57.294117647058826
53768,84.0,96.42857142857144,59.833333333333336
71115,72.0,100.0,60.22222222222222
105877,28.0,100.0,60.92857142857143
7948,105.0,99.04761904761904,65.48571428571428
8104,27.0,70.37037037037037,38.44444444444444
61577,23.0,100.0,64.21739130434783
34318,165.0,99.3939393939394,52.56363636363636
34319,100.0,91.0,51.6
15670,62.0,98.38709677419357,56.354838709677416
17188,141.0,100.0,69.45390070921985
66445,16.0,100.0,71.75
20703,161.0,99.37888198757764,69.83229813664596
23638,35.0,94.28571428571428,46.71428571428572
121959,33.0,96.96969696969695,53.54545454545455
17160,94.0,95.74468085106383,52.41489361702128
2884,23.0,100.0,61.08695652173913
84541,40.0,95.0,53.05
18402,108.0,100.0,62.30555555555556
104142,45.0,100.0,50.95555555555556
75655,127.0,100.0,65.83464566929133
24775,48.0,100.0,56.770833333333336
53380,161.0,100.0,64.37267080745342
74550,154.0,99.35064935064936,66.00649350649351
264713,11.0,100.0,58.18181818181818
87534,92.0,98.91304347826086,51.40217391304348
87456,76.0,100.0,52.28947368421053
89411,26.0,84.61538461538461,40.34615384615385
87710,121.0,98.34710743801654,49.72727272727273
48176,102.0,98.0392156862745,52.77450980392157
35289,88.0,100.0,63.76136363636363
38740,187.0,100.0,62.075268817204304
39228,165.0,100.0,74.74545454545455
91595,60.0,100.0,70.51666666666667
125788,8.0,62.5,38.0
131192,55.0,70.9090909090909,35.85454545454545
264878,31.0,100.0,66.2258064516129
87569,22.0,77.27272727272727,41.81818181818182
86436,47.0,97.87234042553192,67.0
86437,67.0,97.01492537313432,66.86567164179104
80656,15.0,93.33333333333331,44.0
80388,117.0,99.14529914529916,57.52136752136752
82379,84.0,88.09523809523809,45.04819277108434
92329,30.0,100.0,64.56666666666666
92325,9.0,77.77777777777779,45.44444444444444
82547,129.0,100.0,65.3953488372093
20508,100.0,100.0,63.73
92331,21.0,100.0,50.80952380952381
133413,141.0,100.0,53.8581560283688
74025,43.0,100.0,55.55813953488372
74027,37.0,91.8918918918919,46.30555555555556
66146,30.0,100.0,62.6
7843,37.0,100.0,53.94594594594594
268101,22.0,100.0,55.90909090909091
27799,63.0,90.47619047619048,42.98412698412698
106591,48.0,97.91666666666666,55.10416666666666
23129,125.0,100.0,62.968
15815,165.0,100.0,65.00613496932516
38536,138.0,98.55072463768116,53.05072463768116
74129,10.0,100.0,48.4
23037,133.0,100.0,65.9090909090909
23038,125.0,100.0,64.328
23039,77.0,100.0,60.1948051948052
43471,62.0,96.7741935483871,50.064516129032256
43423,33.0,100.0,66.63636363636364
69452,24.0,100.0,54.625
70272,179.0,98.8826815642458,55.1340782122905
43482,115.0,98.2608695652174,54.01739130434783
23971,42.0,100.0,51.095238095238095
23940,28.0,100.0,57.35714285714285
23983,43.0,97.67441860465117,48.13953488372093
23973,42.0,92.85714285714286,40.23809523809524
47260,55.0,98.1818181818182,54.23636363636364
47276,17.0,100.0,67.94117647058823
23975,165.0,99.3939393939394,61.46666666666667
29707,100.0,99.0,56.26
24002,64.0,90.625,44.25
23981,76.0,96.05263157894736,53.078947368421055
29217,18.0,94.44444444444444,41.16666666666666
73284,32.0,100.0,63.9375
30500,33.0,84.84848484848484,47.121212121212125
48633,26.0,96.15384615384616,65.11538461538461
73299,122.0,100.0,65.55737704918033
22830,125.0,100.0,65.496
83153,16.0,100.0,54.0
105506,143.0,99.3006993006993,67.39160839160839
114103,12.0,83.33333333333334,46.5
109285,44.0,100.0,60.22727272727273
107049,74.0,95.94594594594594,47.91891891891892
6163,40.0,100.0,55.975
115558,55.0,100.0,57.054545454545455
20816,18.0,88.88888888888889,38.388888888888886
8878,59.0,100.0,53.86440677966102
11273,21.0,66.66666666666666,36.142857142857146
7254,225.0,100.0,61.16888888888889
21450,34.0,76.66666666666667,34.35294117647059
13483,10.0,80.0,38.2
268879,16.0,100.0,59.4375
7917,53.0,98.07692307692308,48.54716981132076
7892,74.0,100.0,61.67567567567568
133386,37.0,100.0,49.62162162162162
11019,19.0,94.73684210526316,44.73684210526316
8865,45.0,91.11111111111111,44.91111111111111
53314,38.0,100.0,67.23684210526316
61001,113.0,100.0,59.93805309734513
78212,21.0,100.0,57.95238095238095
60994,182.0,100.0,61.0
60988,146.0,100.0,68.26712328767124
17525,37.0,97.2972972972973,48.729729729729726
55203,128.0,100.0,60.265625
41928,251.0,99.601593625498,63.48
27222,18.0,94.44444444444444,52.22222222222222
18998,192.0,99.47916666666666,57.348958333333336
14961,160.0,100.0,55.00625
11576,98.0,94.89795918367348,50.734693877551024
20821,31.0,100.0,45.67741935483871
85984,21.0,52.38095238095239,31.904761904761905
80383,23.0,100.0,46.17391304347826
87494,12.0,100.0,43.16666666666666
104910,107.0,91.58878504672896,45.570093457943926
41295,133.0,99.24812030075188,52.34848484848485
14995,146.0,100.0,60.23287671232877
111937,30.0,83.33333333333334,39.86666666666667
14390,72.0,98.61111111111111,57.80555555555556
14413,56.0,98.1818181818182,55.55357142857143
87122,168.0,100.0,65.5
72575,46.0,82.6086956521739,43.91304347826087
87280,173.0,99.4186046511628,59.58139534883721
13912,9.0,77.77777777777779,40.11111111111112
66134,178.0,99.438202247191,58.38202247191011
16831,117.0,100.0,58.8974358974359
86129,19.0,89.47368421052632,51.36842105263158
103477,55.0,92.72727272727272,40.32727272727273
87273,18.0,94.44444444444444,41.77777777777778
87868,15.0,46.66666666666666,25.33333333333333
52854,165.0,99.3939393939394,67.80606060606061
52857,162.0,100.0,73.62732919254658
51790,126.0,98.4126984126984,59.90476190476191
68477,49.0,100.0,61.42857142857143
12173,34.0,100.0,64.44117647058823
52409,123.0,100.0,73.04065040650407
58362,31.0,100.0,61.12903225806452
91549,99.0,95.95959595959596,49.686868686868685
73924,93.0,100.0,65.12903225806451
86975,117.0,100.0,70.82905982905983
52855,137.0,98.54014598540148,61.416058394160586
87848,21.0,100.0,66.9047619047619
52697,124.0,100.0,74.36290322580645
64285,28.0,100.0,52.21428571428572
104677,190.0,100.0,71.07368421052631
88974,64.0,96.66666666666669,54.28125
92673,8.0,100.0,57.625
52853,159.0,100.0,70.71069182389937
83796,22.0,90.9090909090909,50.04545454545455
58882,115.0,100.0,58.03478260869565
52410,194.0,100.0,71.92268041237114
87849,44.0,100.0,54.61363636363637
104416,23.0,100.0,56.869565217391305
89302,26.0,80.0,45.46153846153846
121880,66.0,100.0,70.9090909090909
113811,68.0,98.50746268656717,47.338235294117645
64353,62.0,100.0,59.95161290322581
52860,164.0,99.39024390243902,63.84049079754601
79336,20.0,100.0,56.7
79023,106.0,97.16981132075472,51.08490566037736
88975,63.0,84.12698412698413,45.31746031746032
104761,17.0,62.5,30.0
132636,37.0,94.5945945945946,47.91666666666666
133758,108.0,99.07407407407408,60.6822429906542
133759,208.0,100.0,64.36538461538461
272252,15.0,100.0,63.6
268899,17.0,100.0,40.47058823529412
88916,18.0,100.0,46.61111111111112
17208,19.0,89.47368421052632,47.36842105263158
22102,23.0,100.0,55.30434782608695
