RSPO szkoły,* liczba zdających,* zdawalność (%).1,średni wynik (%)
12325,31.0,90.32258064516128,44.41935483870968
4117,77.0,100.0,61.44155844155844
10610,36.0,97.22222222222221,45.0
123619,22.0,100.0,49.90909090909091
3513,51.0,98.0392156862745,52.372549019607845
131451,19.0,100.0,54.473684210526315
131392,242.0,98.3402489626556,51.43801652892562
53597,75.0,100.0,62.22666666666667
6279,149.0,100.0,62.10738255033557
53680,9.0,88.88888888888889,35.666666666666664
109600,9.0,100.0,42.55555555555556
109601,1.0,100.0,
84659,15.0,100.0,60.86666666666667
113791,21.0,85.71428571428571,36.142857142857146
119613,4.0,75.0,
83537,28.0,89.28571428571429,42.5
83543,47.0,93.61702127659575,47.638297872340424
85245,16.0,87.5,43.6875
85324,11.0,81.81818181818183,32.18181818181818
72014,4.0,33.33333333333333,
10426,1.0,0.0,
109572,65.0,96.875,53.453125
22038,95.0,95.78947368421052,49.463157894736845
14501,110.0,90.0,47.5
14226,16.0,100.0,48.625
19108,18.0,77.77777777777779,43.22222222222222
19101,142.0,99.29577464788733,56.401408450704224
12719,108.0,100.0,63.398148148148145
11640,77.0,100.0,51.20779220779221
11648,75.0,98.66666666666667,50.12
9883,8.0,87.5,49.375
14372,191.0,100.0,62.324607329842934
35355,22.0,100.0,62.09090909090909
35193,57.0,96.49122807017544,65.05263157894737
26980,38.0,100.0,65.42105263157895
85576,21.0,100.0,68.95238095238095
18408,26.0,92.3076923076923,49.53846153846154
13037,108.0,100.0,54.342592592592595
11196,9.0,77.77777777777779,35.55555555555556
11222,27.0,96.29629629629629,44.22222222222222
17491,70.0,100.0,55.79710144927536
12525,129.0,100.0,64.02325581395348
12527,133.0,100.0,64.37878787878788
12972,140.0,98.57142857142858,50.69285714285714
27051,63.0,100.0,57.904761904761905
13860,57.0,94.54545454545455,42.78947368421053
13661,73.0,85.91549295774648,36.082191780821915
12707,179.0,100.0,70.37988826815642
18457,130.0,100.0,66.99230769230769
11730,49.0,95.91836734693877,45.53061224489796
13768,153.0,100.0,60.36601307189542
12666,118.0,99.15254237288136,60.271186440677965
14346,172.0,96.51162790697676,44.57309941520468
13830,64.0,87.5,43.671875
5503,12.0,91.66666666666666,57.583333333333336
8834,9.0,100.0,46.44444444444444
8884,7.0,42.857142857142854,25.571428571428573
4569,89.0,72.28915662650603,32.46067415730337
4637,23.0,65.21739130434783,32.130434782608695
4100,79.0,92.3076923076923,40.35443037974684
18608,57.0,85.71428571428571,37.473684210526315
12059,15.0,93.33333333333333,46.53333333333333
124007,45.0,68.29268292682927,33.93333333333333
13660,2.0,0.0,
4931,41.0,100.0,42.21951219512195
12941,16.0,93.75,55.125
12494,192.0,100.0,67.05729166666667
119312,57.0,83.63636363636363,38.40350877192982
8874,18.0,88.23529411764706,42.27777777777778
276010,4.0,66.66666666666666,
18605,11.0,100.0,35.54545454545455
5012,34.0,97.05882352941177,42.029411764705884
4906,6.0,100.0,51.166666666666664
4846,14.0,92.85714285714286,36.42857142857143
8629,6.0,33.33333333333333,25.833333333333332
130870,3.0,100.0,
131044,35.0,97.14285714285714,49.51428571428571
266625,26.0,84.61538461538461,46.5
5223,47.0,97.87234042553192,57.191489361702125
5098,90.0,100.0,54.644444444444446
13511,14.0,100.0,59.5
123309,17.0,94.11764705882352,41.0
9946,43.0,100.0,50.2093023255814
9962,21.0,100.0,52.0
106878,36.0,100.0,55.72222222222222
104506,65.0,100.0,57.4
10978,2.0,100.0,
104807,13.0,100.0,41.53846153846154
53548,38.0,86.8421052631579,41.44736842105263
53528,64.0,82.8125,46.0
86954,33.0,69.23076923076923,35.57575757575758
53544,30.0,96.66666666666667,48.233333333333334
53542,138.0,97.10144927536231,46.19565217391305
53552,77.0,97.40259740259741,56.311688311688314
274948,9.0,33.33333333333333,25.555555555555557
53555,24.0,83.33333333333334,43.625
65189,35.0,94.28571428571428,55.91428571428571
24963,137.0,99.27007299270073,66.18248175182482
24965,85.0,97.6470588235294,53.082352941176474
