RSPO szkoły,* liczba zdających.2,* zdawalność (%).3,średni wynik (%).2
86065,4.0,,
122271,22.0,100.0,83.5909090909091
125432,41.0,97.5609756097561,66.1219512195122
130828,30.0,89.28571428571429,65.7
133201,28.0,100.0,74.07142857142857
103727,37.0,100.0,78.83783783783784
262211,139.0,100.0,97.45652173913044
265997,14.0,100.0,91.85714285714286
269593,47.0,97.87234042553192,91.46808510638297
271870,47.0,100.0,93.97826086956522
478065,21.0,100.0,94.14285714285714
270391,41.0,100.0,92.82926829268293
89762,76.0,94.52054794520548,75.02631578947368
83567,97.0,100.0,88.6701030927835
269487,12.0,100.0,86.75
25697,127.0,99.21259842519686,80.81889763779527
4045,113.0,100.0,94.85840707964601
3640,155.0,100.0,97.07741935483871
29583,134.0,100.0,97.79850746268657
30451,18.0,100.0,71.61111111111111
31207,62.0,100.0,95.1774193548387
6128,30.0,100.0,93.13333333333334
18942,177.0,100.0,94.36723163841808
21211,63.0,100.0,79.38095238095238
3620,120.0,100.0,97.025
23199,192.0,100.0,96.75520833333333
3957,220.0,100.0,93.78082191780823
21022,3.0,,
262373,33.0,100.0,82.1875
196346,88.0,100.0,94.04545454545455
38713,66.0,100.0,72.0909090909091
34660,219.0,99.54337899543378,85.94977168949772
42757,5.0,75.0,42.2
108996,50.0,94.0,60.26
38705,29.0,93.10344827586206,69.55172413793103
271088,26.0,96.15384615384616,67.3076923076923
38716,42.0,92.85714285714286,66.33333333333333
82886,50.0,95.91836734693877,61.84
131149,7.0,85.71428571428571,47.142857142857146
59054,147.0,99.31972789115646,88.06802721088435
47245,39.0,100.0,92.7948717948718
71878,94.0,100.0,88.35106382978724
57720,88.0,100.0,90.5340909090909
58113,28.0,100.0,74.64285714285714
269275,31.0,96.7741935483871,71.54838709677419
272464,14.0,100.0,68.78571428571429
21234,119.0,99.15966386554622,84.01680672268908
21556,48.0,97.87234042553192,70.83333333333333
26505,9.0,62.5,42.44444444444444
122936,4.0,,
133144,33.0,100.0,91.39393939393939
71243,89.0,96.62921348314607,82.10112359550561
71328,140.0,100.0,86.82857142857142
28129,44.0,80.48780487804879,52.88636363636363
118822,7.0,20.0,25.142857142857142
83317,12.0,91.66666666666666,71.33333333333333
31861,42.0,95.23809523809523,75.92857142857143
111536,22.0,100.0,67.36363636363636
107075,133.0,100.0,86.86466165413533
126766,28.0,100.0,90.17857142857143
119399,6.0,100.0,66.16666666666667
126767,20.0,100.0,74.15
126749,3.0,,
7943,81.0,96.29629629629629,72.51851851851852
52789,17.0,100.0,89.82352941176471
10331,118.0,100.0,91.32203389830508
10244,113.0,100.0,91.34513274336283
